Using device: cpu
no-correct-per-very-small-low-and-high
Initializing with critic LR:  0.0005  actor LR:  1e-05
Initializing with critic LR:  0.0001  actor LR:  5e-05
Goal, Curr: (-0.82,  0.84), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.43,  -0.73), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.17,  0.95), ( -1.40,  -0.60)   Error: 1.57
Last SG, Last State: ( -1.54,  -0.79), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.98,  1.03), ( -1.40,  -0.60)   Error: 1.69
Last SG, Last State: ( -1.52,  -0.77), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.16,  0.81), ( -1.40,  -0.60)   Error: 1.43
Last SG, Last State: ( -1.50,  -0.77), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.18,  1.23), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: ( -1.61,  -0.82), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.14,  0.76), ( -1.40,  -0.60)   Error: 1.39
Last SG, Last State: ( -1.48,  -0.76), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  0.90), ( -1.40,  -0.60)   Error: 1.56
Last SG, Last State: ( -1.49,  -0.76), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  1.09), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: ( -1.53,  -0.78), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.00,  0.80), ( -1.40,  -0.60)   Error: 1.46
Last SG, Last State: ( -1.46,  -0.75), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.86,  1.02), ( -1.40,  -0.60)   Error: 1.71
Last SG, Last State: ( -1.49,  -0.76), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.04,  0.96), ( -1.40,  -0.60)   Error: 1.60
Last SG, Last State: ( -1.51,  -0.77), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.76,  1.00), ( -1.40,  -0.60)   Error: 1.72
Last SG, Last State: ( -1.46,  -0.74), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.76,  0.82), ( -1.40,  -0.60)   Error: 1.56
