Using device: cpu
gc-4.0-kkk-high-expl
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.94,  1.09), ( -1.40,  -0.60)   Error: 1.75
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

episode:01300, mean:0.36, std:0.16, median:0.41, success:0.00
Goal, Curr: (-1.23,  1.18), ( -1.40,  -0.60)   Error: 1.79
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00092 

Goal, Curr: (-1.12,  1.07), ( -1.40,  -0.60)   Error: 1.70
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00092 

Goal, Curr: (-1.24,  1.04), ( -1.40,  -0.60)   Error: 1.65
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00092 

Goal, Curr: (-0.90,  1.22), ( -1.40,  -0.70)   Error: 1.98
Last SG, Last State: (  0.60,   1.27), ( -1.40,  -0.71)  SG Improvement:0.00092 

Goal, Curr: (-1.13,  1.23), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00092 

Goal, Curr: (-0.82,  1.08), ( -1.40,  -0.60)   Error: 1.78
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00092 

Goal, Curr: (-0.96,  1.18), ( -1.40,  -0.60)   Error: 1.83
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00092 

Goal, Curr: (-0.97,  1.14), ( -1.40,  -0.60)   Error: 1.80
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00092 

Goal, Curr: (-1.20,  1.11), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:-0.00092 

Goal, Curr: (-0.93,  0.81), ( -1.40,  -0.60)   Error: 1.48
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00092 

episode:01400, mean:0.41, std:0.11, median:0.42, success:0.00
Goal, Curr: (-0.96,  1.08), ( -1.40,  -0.60)   Error: 1.74
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-1.22,  1.24), ( -1.40,  -0.60)   Error: 1.85
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.82,  1.03), ( -1.40,  -0.60)   Error: 1.73
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  1.25), ( -1.40,  -0.60)   Error: 1.90
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.93,  0.83), ( -1.40,  -0.60)   Error: 1.51
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

Goal, Curr: (-0.99,  1.23), ( -1.40,  -0.60)   Error: 1.88
Last SG, Last State: (  0.60,   1.40), ( -1.40,  -0.60)  SG Improvement:0.00000 

