Using device: cpu
no-correct-actual-per-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Last SG, Last State: ( -1.14,  -0.93), ( -1.13,  -0.93)  SG Improvement:-0.01118 

Goal, Curr: (-1.24,  1.13), ( -1.11,  -0.98)   Error: 2.11
Last SG, Last State: ( -1.12,  -0.98), ( -1.11,  -0.98)  SG Improvement:-0.01244 

Goal, Curr: (-1.13,  1.21), ( -1.12,  -1.02)   Error: 2.23
Last SG, Last State: ( -1.13,  -1.02), ( -1.12,  -1.02)  SG Improvement:-0.01778 

Goal, Curr: (-1.22,  0.84), ( -0.71,  -1.22)   Error: 2.13
Last SG, Last State: ( -0.70,  -1.23), ( -0.70,  -1.22)  SG Improvement:-0.01350 

Goal, Curr: (-0.95,  0.93), ( -0.91,  -0.99)   Error: 1.92
Last SG, Last State: ( -0.91,  -0.99), ( -0.91,  -0.99)  SG Improvement:-0.00740 

Goal, Curr: (-1.24,  1.05), ( -0.67,  -1.24)   Error: 2.36
Last SG, Last State: ( -0.67,  -1.24), ( -0.67,  -1.24)  SG Improvement:-0.01629 

Goal, Curr: (-1.13,  0.75), ( -0.88,  -1.18)   Error: 1.95
Last SG, Last State: ( -0.88,  -1.18), ( -0.88,  -1.18)  SG Improvement:-0.00299 

Goal, Curr: (-1.00,  0.95), ( -0.69,  -1.25)   Error: 2.22
Last SG, Last State: ( -0.69,  -1.25), ( -0.69,  -1.25)  SG Improvement:-0.01249 

Goal, Curr: (-1.22,  1.01), ( -1.19,  -0.87)   Error: 1.88
Last SG, Last State: ( -1.20,  -0.88), ( -1.19,  -0.88)  SG Improvement:-0.01174 

episode:00200, mean:5.98, std:0.60, median:5.93, success:0.00
Goal, Curr: (-0.94,  0.91), (  0.30,  -1.40)   Error: 2.62
Last SG, Last State: (  0.32,  -1.40), (  0.31,  -1.40)  SG Improvement:-0.06298 

Goal, Curr: (-1.13,  1.02), ( -0.19,  -0.99)   Error: 2.23
Last SG, Last State: ( -0.18,  -1.00), ( -0.18,  -1.00)  SG Improvement:-0.01963 

Goal, Curr: (-0.75,  1.18), (  0.12,  -1.31)   Error: 2.63
Last SG, Last State: (  0.09,  -1.28), (  0.10,  -1.30)  SG Improvement:-0.02393 

Goal, Curr: (-1.06,  1.02), ( -0.39,  -1.40)   Error: 2.51
Last SG, Last State: ( -0.14,  -1.40), ( -0.26,  -1.40)  SG Improvement:-0.18556 

Goal, Curr: (-0.85,  1.17), ( -1.01,  -1.40)   Error: 2.57
Last SG, Last State: ( -0.70,  -1.40), ( -0.85,  -1.40)  SG Improvement:-0.16905 

Goal, Curr: (-0.90,  1.17), ( -0.01,  -1.40)   Error: 2.72
Last SG, Last State: (  0.12,  -1.40), (  0.07,  -1.40)  SG Improvement:-0.19808 

Goal, Curr: (-1.06,  1.08), (  0.35,  -1.40)   Error: 2.85
Last SG, Last State: (  0.34,  -1.40), (  0.35,  -1.40)  SG Improvement:-0.03884 

Goal, Curr: (-1.06,  0.88), (  0.28,  -1.40)   Error: 2.64
Last SG, Last State: (  0.24,  -1.40), (  0.26,  -1.40)  SG Improvement:-0.04931 

Goal, Curr: (-1.14,  1.10), ( -0.30,  -1.40)   Error: 2.64
Last SG, Last State: ( -0.07,  -1.40), ( -0.18,  -1.40)  SG Improvement:-0.22026 

Goal, Curr: (-1.02,  1.17), ( -0.11,  -1.40)   Error: 2.72
