Using device: cpu
tamer-critic-gc-4.0-0.5-expl
Log radii:  [ 1.3862944  1.3862944 -0.9777797  1.3862944  1.3862944  1.3862944]
Adjusted log radii:  [1.37629437 1.67629433 1.71222043 2.27629423 1.37629437 1.67629433]
Last SG, Last State: ( -3.40,  -2.43), ( -1.40,  -0.62)  SG Improvement:0.12108 

Goal, Curr: (-0.93,  1.05), ( -1.40,  -0.61)   Error: 1.72
Last SG, Last State: ( -3.40,  -2.41), ( -1.40,  -0.66)  SG Improvement:0.14648 

Goal, Curr: (-0.94,  1.18), ( -1.40,  -0.60)   Error: 1.84
Last SG, Last State: ( -3.40,  -2.40), ( -1.40,  -0.64)  SG Improvement:0.08378 

episode:00900, mean:0.27, std:0.12, median:0.25, success:0.00
Goal, Curr: (-1.07,  1.25), ( -1.40,  -0.99)   Error: 2.26
Last SG, Last State: ( -3.40,  -2.98), ( -1.40,  -0.99)  SG Improvement:-0.00051 

Goal, Curr: (-0.78,  1.23), ( -1.40,  -1.40)   Error: 2.71
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-0.96,  1.05), ( -1.40,  -1.40)   Error: 2.49
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00013 

Goal, Curr: (-0.93,  0.81), ( -1.40,  -1.40)   Error: 2.26
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00003 

Goal, Curr: (-1.06,  1.06), ( -1.40,  -1.40)   Error: 2.48
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00235 

Goal, Curr: (-1.08,  0.95), ( -1.40,  -1.40)   Error: 2.37
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

Goal, Curr: (-1.04,  0.83), ( -1.40,  -1.40)   Error: 2.26
Last SG, Last State: ( -3.40,  -3.34), ( -1.40,  -1.40)  SG Improvement:-0.19251 

Goal, Curr: (-1.24,  1.12), ( -1.40,  -1.40)   Error: 2.52
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00001 

Goal, Curr: (-1.09,  1.14), ( -1.40,  -1.40)   Error: 2.55
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00003 

Goal, Curr: (-1.07,  0.88), ( -1.40,  -1.40)   Error: 2.30
Last SG, Last State: ( -3.40,  -3.40), ( -1.40,  -1.40)  SG Improvement:0.00000 

episode:01000, mean:-0.32, std:0.17, median:-0.32, success:0.00
Goal, Curr: (-1.23,  1.21), ( -1.40,  -0.63)   Error: 1.85
Last SG, Last State: ( -3.40,  -2.73), ( -1.40,  -0.68)  SG Improvement:0.00085 

Goal, Curr: (-0.77,  0.90), ( -1.40,  -0.76)   Error: 1.78
Last SG, Last State: ( -3.40,  -2.82), ( -1.40,  -0.79)  SG Improvement:-0.00063 

Goal, Curr: (-1.10,  0.86), ( -1.40,  -0.85)   Error: 1.73
Last SG, Last State: ( -3.40,  -2.92), ( -1.40,  -0.88)  SG Improvement:-0.00106 

Goal, Curr: (-1.21,  0.75), ( -1.40,  -0.76)   Error: 1.52
Last SG, Last State: ( -3.40,  -2.82), ( -1.40,  -0.79)  SG Improvement:-0.00063 

Goal, Curr: (-1.22,  0.77), ( -1.40,  -0.84)   Error: 1.62
Last SG, Last State: ( -3.40,  -2.92), ( -1.40,  -0.88)  SG Improvement:-0.00105 

Goal, Curr: (-0.82,  0.78), ( -1.40,  -0.76)   Error: 1.64
Last SG, Last State: ( -3.40,  -2.82), ( -1.40,  -0.79)  SG Improvement:-0.00063 

Goal, Curr: (-1.07,  0.91), ( -1.40,  -0.84)   Error: 1.78
Last SG, Last State: ( -3.40,  -2.91), ( -1.40,  -0.87)  SG Improvement:-0.00102 

Goal, Curr: (-1.03,  1.00), ( -1.40,  -0.61)   Error: 1.66
Last SG, Last State: ( -3.40,  -2.66), ( -1.40,  -0.64)  SG Improvement:-0.00038 

Goal, Curr: (-0.96,  1.07), ( -1.40,  -0.69)   Error: 1.81
Last SG, Last State: ( -3.40,  -2.79), ( -1.40,  -0.74)  SG Improvement:0.00124 

Goal, Curr: (-0.98,  0.97), ( -1.40,  -0.84)   Error: 1.86
Last SG, Last State: ( -3.40,  -2.91), ( -1.40,  -0.88)  SG Improvement:-0.00105 

episode:01100, mean:0.32, std:0.12, median:0.34, success:0.00
