Using device: cpu
no-correct-per-everything-ridiculously-slow
Initializing with critic LR:  5e-05  actor LR:  1e-08
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-1.13,  0.94), ( -1.40,  -1.37)   Error: 2.33
Last SG, Last State: ( -1.40,  -1.31), ( -1.40,  -1.34)  SG Improvement:-0.03338 

Goal, Curr: (-0.84,  1.06), ( -1.40,  -1.22)   Error: 2.35
Last SG, Last State: ( -1.40,  -1.16), ( -1.40,  -1.18)  SG Improvement:-0.02990 

Goal, Curr: (-0.95,  1.09), ( -1.40,  -1.40)   Error: 2.53
Last SG, Last State: ( -1.40,  -1.40), ( -1.40,  -1.40)  SG Improvement:-0.06607 

Goal, Curr: (-0.95,  0.82), ( -1.40,  -1.31)   Error: 2.18
Last SG, Last State: ( -1.40,  -1.25), ( -1.40,  -1.27)  SG Improvement:-0.03175 

Goal, Curr: (-1.17,  0.89), ( -1.40,  -1.40)   Error: 2.30
Last SG, Last State: ( -1.40,  -1.40), ( -1.40,  -1.40)  SG Improvement:-0.06150 

Goal, Curr: (-1.05,  1.01), ( -1.40,  -1.40)   Error: 2.44
Last SG, Last State: ( -1.40,  -1.40), ( -1.40,  -1.40)  SG Improvement:-0.05187 

Goal, Curr: (-1.14,  1.04), ( -1.40,  -1.14)   Error: 2.20
Last SG, Last State: ( -1.40,  -1.09), ( -1.40,  -1.11)  SG Improvement:-0.02727 

Goal, Curr: (-0.79,  0.99), ( -1.40,  -1.40)   Error: 2.46
Last SG, Last State: ( -1.40,  -1.37), ( -1.40,  -1.40)  SG Improvement:-0.36986 

Goal, Curr: (-0.88,  1.04), ( -1.40,  -1.32)   Error: 2.42
Last SG, Last State: ( -1.40,  -1.25), ( -1.40,  -1.28)  SG Improvement:-0.03362 

Goal, Curr: (-1.08,  0.78), ( -1.40,  -1.40)   Error: 2.20
Last SG, Last State: ( -1.40,  -1.40), ( -1.40,  -1.40)  SG Improvement:-0.07411 

Goal, Curr: (-1.02,  1.08), ( -1.40,  -1.01)   Error: 2.13
Last SG, Last State: ( -1.40,  -0.96), ( -1.40,  -0.99)  SG Improvement:-0.02290 

