Using device: cpu
gc-4.0-fin3
Last SG, Last State: ( -0.60,  -2.06), (  1.40,   0.03)  SG Improvement:-0.00494 

Goal, Curr: (-1.22,  1.23), (  1.40,   0.41)   Error: 2.75
Last SG, Last State: ( -0.60,  -1.75), (  1.40,   0.33)  SG Improvement:-0.00464 

Goal, Curr: (-1.20,  0.91), (  1.40,   0.56)   Error: 2.62
Last SG, Last State: ( -0.60,  -1.59), (  1.40,   0.49)  SG Improvement:-0.00441 

Goal, Curr: (-0.99,  1.20), (  1.40,   0.23)   Error: 2.58
Last SG, Last State: ( -0.60,  -1.95), (  1.40,   0.14)  SG Improvement:-0.00502 

Goal, Curr: (-1.03,  0.79), (  1.40,   0.47)   Error: 2.45
Last SG, Last State: ( -0.60,  -1.68), (  1.40,   0.40)  SG Improvement:-0.00443 

Goal, Curr: (-1.21,  0.93), (  1.40,   0.09)   Error: 2.74
Last SG, Last State: ( -0.60,  -2.10), (  1.40,  -0.01)  SG Improvement:-0.00485 

Goal, Curr: (-0.99,  0.97), (  1.40,   0.40)   Error: 2.45
Last SG, Last State: ( -0.60,  -1.76), (  1.40,   0.32)  SG Improvement:-0.00468 

Goal, Curr: (-0.76,  1.23), (  1.40,   0.30)   Error: 2.35
Last SG, Last State: ( -0.60,  -1.87), (  1.40,   0.22)  SG Improvement:-0.00515 

Goal, Curr: (-1.01,  1.19), (  1.40,   0.60)   Error: 2.48
Last SG, Last State: ( -0.60,  -1.55), (  1.40,   0.53)  SG Improvement:-0.01820 

Goal, Curr: (-1.25,  0.83), (  1.40,   0.70)   Error: 2.65
Last SG, Last State: ( -0.60,  -1.43), (  1.40,   0.63)  SG Improvement:-0.00382 

episode:00200, mean:6.60, std:0.45, median:6.53, success:0.00
Goal, Curr: (-1.10,  1.00), ( -0.10,  -0.79)   Error: 2.05
Last SG, Last State: ( -2.10,  -2.79), ( -0.10,  -0.79)  SG Improvement:-0.00054 

Goal, Curr: (-1.12,  1.19), (  0.11,  -0.60)   Error: 2.17
Last SG, Last State: ( -1.90,  -2.60), (  0.10,  -0.60)  SG Improvement:-0.00295 

Goal, Curr: (-1.00,  1.24), (  0.08,  -0.60)   Error: 2.14
Last SG, Last State: ( -1.92,  -2.60), (  0.08,  -0.60)  SG Improvement:-0.00080 

Goal, Curr: (-0.78,  1.13), (  0.03,  -0.60)   Error: 1.92
Last SG, Last State: ( -1.97,  -2.60), (  0.03,  -0.60)  SG Improvement:-0.00090 

Goal, Curr: (-1.25,  1.11), (  0.12,  -0.60)   Error: 2.19
Last SG, Last State: ( -1.89,  -2.60), (  0.12,  -0.60)  SG Improvement:-0.00022 

Goal, Curr: (-1.08,  0.96), (  0.31,  -0.60)   Error: 2.10
Last SG, Last State: ( -1.75,  -2.60), (  0.25,  -0.60)  SG Improvement:-0.50891 

Goal, Curr: (-1.22,  0.98), (  0.14,  -0.61)   Error: 2.09
Last SG, Last State: ( -1.87,  -2.60), (  0.14,  -0.60)  SG Improvement:0.11135 

Goal, Curr: (-0.86,  1.14), (  0.12,  -0.60)   Error: 2.00
Last SG, Last State: ( -1.88,  -2.60), (  0.12,  -0.60)  SG Improvement:-0.00018 

Goal, Curr: (-0.76,  1.20), (  1.40,   1.40)   Error: 2.17
Last SG, Last State: ( -0.60,  -0.60), (  1.40,   1.40)  SG Improvement:-0.00005 

Goal, Curr: (-1.08,  1.13), (  0.05,  -0.60)   Error: 2.07
Last SG, Last State: ( -1.95,  -2.60), (  0.05,  -0.60)  SG Improvement:-0.00072 

Goal, Curr: (-0.85,  1.14), (  0.10,  -0.60)   Error: 1.98
Last SG, Last State: ( -1.90,  -2.60), (  0.10,  -0.60)  SG Improvement:-0.00036 

Goal, Curr: (-0.77,  0.79), (  1.25,   0.19)   Error: 2.11
Last SG, Last State: ( -1.00,  -2.12), (  1.13,   0.03)  SG Improvement:-0.14087 

Goal, Curr: (-1.12,  1.24), (  0.06,  -0.60)   Error: 2.19
Last SG, Last State: ( -1.95,  -2.60), (  0.06,  -0.60)  SG Improvement:-0.00069 

Goal, Curr: (-0.98,  1.01), (  0.02,  -0.60)   Error: 1.90
Last SG, Last State: ( -1.99,  -2.60), (  0.02,  -0.60)  SG Improvement:-0.00107 

Goal, Curr: (-1.16,  1.17), (  0.03,  -0.60)   Error: 2.13
Last SG, Last State: ( -1.98,  -2.60), (  0.02,  -0.60)  SG Improvement:-0.00099 

Goal, Curr: (-1.01,  1.06), (  0.09,  -0.60)   Error: 1.98
Last SG, Last State: ( -1.92,  -2.60), (  0.08,  -0.60)  SG Improvement:-0.00044 

Goal, Curr: (-1.22,  1.12), (  0.13,  -0.60)   Error: 2.19
Last SG, Last State: ( -1.88,  -2.60), (  0.13,  -0.60)  SG Improvement:-0.00280 

Goal, Curr: (-0.96,  0.79), (  0.13,  -0.60)   Error: 1.77
Last SG, Last State: ( -1.88,  -2.60), (  0.12,  -0.60)  SG Improvement:0.01017 

Goal, Curr: (-1.07,  0.79), (  0.09,  -0.60)   Error: 1.81
Last SG, Last State: ( -1.91,  -2.60), (  0.09,  -0.60)  SG Improvement:-0.00043 

Goal, Curr: (-0.91,  0.85), (  0.11,  -0.60)   Error: 1.78
Last SG, Last State: ( -1.89,  -2.60), (  0.11,  -0.60)  SG Improvement:0.00008 

Goal, Curr: (-1.22,  0.85), (  0.09,  -0.60)   Error: 1.95
Last SG, Last State: ( -1.92,  -2.60), (  0.08,  -0.60)  SG Improvement:-0.00320 

Goal, Curr: (-0.90,  1.02), (  0.04,  -0.60)   Error: 1.87
Last SG, Last State: ( -1.97,  -2.60), (  0.04,  -0.60)  SG Improvement:-0.00087 

Goal, Curr: (-1.22,  1.03), (  0.03,  -0.60)   Error: 2.05
Last SG, Last State: ( -1.97,  -2.60), (  0.03,  -0.60)  SG Improvement:-0.00096 

Goal, Curr: (-1.08,  0.93), (  0.10,  -0.60)   Error: 1.93
Last SG, Last State: ( -1.91,  -2.60), (  0.10,  -0.60)  SG Improvement:-0.00057 

Goal, Curr: (-1.06,  0.80), ( -0.12,  -0.77)   Error: 1.83
Last SG, Last State: ( -2.13,  -2.79), ( -0.13,  -0.79)  SG Improvement:-0.00320 

Goal, Curr: (-1.12,  1.09), (  0.05,  -0.60)   Error: 2.06
Last SG, Last State: ( -1.95,  -2.60), (  0.05,  -0.60)  SG Improvement:-0.00113 

Goal, Curr: (-0.79,  1.17), (  0.02,  -0.60)   Error: 1.94
Last SG, Last State: ( -1.98,  -2.60), (  0.02,  -0.60)  SG Improvement:-0.00107 

Goal, Curr: (-0.89,  0.99), (  0.04,  -0.60)   Error: 1.84
