Using device: cpu
no-correct-per-ridiculously-slow-low-learner
Initializing with critic LR:  0.0005  actor LR:  1e-06
Initializing with critic LR:  1e-07  actor LR:  5e-08
Goal, Curr: (-0.96,  0.81), ( -0.53,  -1.40)   Error: 2.24
Last SG, Last State: ( -0.87,  -1.47), ( -0.71,  -1.40)  SG Improvement:-0.21512 

Goal, Curr: (-0.93,  1.16), ( -0.28,  -1.40)   Error: 2.64
Last SG, Last State: ( -0.65,  -1.47), ( -0.47,  -1.40)  SG Improvement:-0.63858 

Goal, Curr: (-1.19,  0.86), ( -0.37,  -1.40)   Error: 2.40
Last SG, Last State: ( -0.73,  -1.47), ( -0.56,  -1.40)  SG Improvement:-0.19586 

Goal, Curr: (-0.76,  1.19), ( -0.26,  -1.40)   Error: 2.64
Last SG, Last State: ( -0.64,  -1.47), ( -0.46,  -1.40)  SG Improvement:-0.18797 

Goal, Curr: (-1.15,  1.05), ( -0.39,  -1.40)   Error: 2.57
Last SG, Last State: ( -0.75,  -1.47), ( -0.58,  -1.40)  SG Improvement:-0.19530 

Goal, Curr: (-1.00,  0.77), ( -0.61,  -1.40)   Error: 2.20
Last SG, Last State: ( -0.94,  -1.47), ( -0.79,  -1.40)  SG Improvement:-0.22232 

Goal, Curr: (-0.92,  1.06), ( -0.76,  -1.40)   Error: 2.46
Last SG, Last State: ( -1.05,  -1.48), ( -0.92,  -1.40)  SG Improvement:-0.23097 

Goal, Curr: (-1.18,  1.06), ( -0.44,  -1.40)   Error: 2.57
Last SG, Last State: ( -0.79,  -1.47), ( -0.62,  -1.40)  SG Improvement:-0.19862 

Goal, Curr: (-1.13,  0.77), ( -0.50,  -1.40)   Error: 2.26
Last SG, Last State: ( -0.85,  -1.47), ( -0.68,  -1.40)  SG Improvement:-0.21044 

Goal, Curr: (-1.11,  1.10), ( -0.24,  -1.40)   Error: 2.64
Last SG, Last State: ( -0.62,  -1.47), ( -0.44,  -1.40)  SG Improvement:-0.18242 

Goal, Curr: (-1.19,  0.81), ( -0.49,  -1.40)   Error: 2.32
Last SG, Last State: ( -0.84,  -1.47), ( -0.68,  -1.40)  SG Improvement:-0.20816 

Goal, Curr: (-0.93,  0.79), ( -0.12,  -1.40)   Error: 2.34
Last SG, Last State: ( -0.50,  -1.46), ( -0.31,  -1.40)  SG Improvement:-0.17893 

Goal, Curr: (-0.94,  1.20), ( -1.32,  -1.40)   Error: 2.63
Last SG, Last State: ( -1.38,  -1.50), ( -1.37,  -1.40)  SG Improvement:-0.22403 

Goal, Curr: (-0.79,  1.06), ( -0.39,  -1.40)   Error: 2.49
Last SG, Last State: ( -0.76,  -1.47), ( -0.58,  -1.40)  SG Improvement:-0.20085 

Goal, Curr: (-1.05,  0.99), ( -0.75,  -1.40)   Error: 2.40
Last SG, Last State: ( -1.05,  -1.48), ( -0.91,  -1.40)  SG Improvement:-0.22924 

Goal, Curr: (-0.79,  0.81), ( -0.16,  -1.40)   Error: 2.30
Last SG, Last State: ( -0.54,  -1.46), ( -0.35,  -1.40)  SG Improvement:-0.18513 

Goal, Curr: (-0.91,  0.77), ( -0.17,  -1.40)   Error: 2.29
Last SG, Last State: ( -0.55,  -1.46), ( -0.36,  -1.40)  SG Improvement:-0.18593 

Goal, Curr: (-0.93,  0.90), ( -0.98,  -1.40)   Error: 2.29
Last SG, Last State: ( -1.21,  -1.48), ( -1.11,  -1.40)  SG Improvement:-0.24649 

Goal, Curr: (-1.13,  0.79), ( -1.12,  -1.40)   Error: 2.18
Last SG, Last State: ( -1.30,  -1.49), ( -1.22,  -1.40)  SG Improvement:-0.24677 

Goal, Curr: (-1.20,  0.88), ( -0.18,  -1.40)   Error: 2.50
Last SG, Last State: ( -0.56,  -1.47), ( -0.38,  -1.40)  SG Improvement:-0.17867 

Goal, Curr: (-1.06,  1.23), ( -1.36,  -1.40)   Error: 2.65
Last SG, Last State: ( -1.38,  -1.51), ( -1.39,  -1.40)  SG Improvement:-0.11082 

Goal, Curr: (-1.03,  0.83), ( -0.13,  -1.40)   Error: 2.40
Last SG, Last State: ( -0.51,  -1.46), ( -0.32,  -1.40)  SG Improvement:-0.18014 

Goal, Curr: (-1.14,  0.82), ( -0.69,  -1.40)   Error: 2.26
Last SG, Last State: ( -1.00,  -1.47), ( -0.86,  -1.40)  SG Improvement:-0.22632 

Goal, Curr: (-1.13,  0.75), ( -1.35,  -1.40)   Error: 2.16
Last SG, Last State: ( -1.38,  -1.50), ( -1.39,  -1.40)  SG Improvement:-0.17336 

Goal, Curr: (-1.25,  1.20), ( -0.46,  -1.40)   Error: 2.71
Last SG, Last State: ( -0.81,  -1.48), ( -0.65,  -1.40)  SG Improvement:-0.19724 

Goal, Curr: (-0.94,  1.02), ( -0.13,  -1.40)   Error: 2.56
Last SG, Last State: ( -0.52,  -1.47), ( -0.33,  -1.40)  SG Improvement:-0.17795 

Goal, Curr: (-0.77,  1.18), ( -0.60,  -1.40)   Error: 2.59
Last SG, Last State: ( -0.93,  -1.47), ( -0.78,  -1.40)  SG Improvement:-0.21767 

Goal, Curr: (-0.78,  1.23), ( -0.19,  -1.40)   Error: 2.69
Last SG, Last State: ( -0.57,  -1.47), ( -0.39,  -1.40)  SG Improvement:-0.18119 

Goal, Curr: (-0.76,  1.07), ( -0.42,  -1.40)   Error: 2.49
Last SG, Last State: ( -0.78,  -1.47), ( -0.61,  -1.40)  SG Improvement:-0.20369 

Goal, Curr: (-1.13,  0.92), ( -0.05,  -1.40)   Error: 2.56
Last SG, Last State: ( -0.44,  -1.47), ( -0.25,  -1.40)  SG Improvement:-0.17076 

Goal, Curr: (-1.16,  1.02), ( -0.07,  -1.40)   Error: 2.65
Last SG, Last State: ( -0.46,  -1.47), ( -0.27,  -1.40)  SG Improvement:-0.16889 

Goal, Curr: (-0.86,  0.98), ( -0.51,  -1.40)   Error: 2.40
Last SG, Last State: ( -0.86,  -1.47), ( -0.70,  -1.40)  SG Improvement:-0.21206 

episode:00200, mean:6.34, std:0.60, median:6.31, success:0.00
Goal, Curr: (-1.03,  1.20), (  0.84,  -0.02)   Error: 2.23
